pdf_id,filename,relative_path,title,source,bytes,sha256,validation,page_count,is_scanned,image_pages,has_images,table_like_pages,has_tables,double_column_pages,is_double_column,sidebar_pages,has_sidebar,document_type,text_chars,notes,manual_review_status,manual_review_notes,relevance_status,relevance_basis,layout_manual_status,relevance_scope
PDF-001,00_official_MQB_MEB_platform_press_release.pdf,framework\00_official_MQB_MEB_platform_press_release.pdf,00_official_MQB_MEB_platform_press_release.pdf,https://www.volkswagen-newsroom.com/en/press-releases/modular-toolkit-strategy-as-recipe-for-success-the-mqb-celebrates-tenth-anniversary-8030/download,188914,9d65fbedc54f630ba32e6624689fa613a793a91d6492f53aa67d68da7d2cd860,通过,3,否,1,是,0,否,0,否,0,否,普通文本,9763,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-002,01_SSP_511_EA211_petrol_engine.pdf,framework\01_SSP_511_EA211_petrol_engine.pdf,01_SSP_511_EA211_petrol_engine.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_511_The_New_EA211_Petrol_Engine.pdf,4445873,9a53bf0c76e2d5248787ecc13d32384704d76604f52d14aad57eb29e2cee2596,通过,64,否,64,是,0,否,0,否,4,是,图片较多,119935,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-003,02_SSP_920243_EA888_gen3.pdf,framework\02_SSP_920243_EA888_gen3.pdf,02_SSP_920243_EA888_gen3.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_920243_-_The_Audi_1_8L_and_2_0L_Third_Generation_EA888_Engines.pdf,4732288,9976d6d51a45730230bad870792a8dcc8643135f87dcc310107d5c269ea87979,通过,72,否,66,是,1,是,5,是,11,是,图片较多,87554,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-004,03_SSP_374_traction_control_ESP.pdf,framework\03_SSP_374_traction_control_ESP.pdf,03_SSP_374_traction_control_ESP.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_374_Traction_Control_ESP.pdf,6478733,94baee1401e25e43cd3ffb50c860a28ff89e8657e6d01f19b115598515c60303,通过,88,否,88,是,0,否,1,是,1,是,图片较多,125330,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-005,04_SSP_532_VW_heat_pump.pdf,framework\04_SSP_532_VW_heat_pump.pdf,04_SSP_532_VW_heat_pump.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_532_The_Heat_Pump_from_Volkswagen.pdf,1604000,d86a2d7aa21ca89f7ac43e1e3a8930556323e7a63bc0d4ef7c675af4dd99386d,通过,32,否,32,是,0,否,0,否,3,是,图片较多,46632,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-006,05_SSP_307_Touran_electrical_system.pdf,framework\05_SSP_307_Touran_electrical_system.pdf,05_SSP_307_Touran_electrical_system.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_307_The_Touran_Electrical_system.pdf,3181975,c5fa466e559ffe78abb7f9ec4ebff561a48daa041c0d6b8b4263bacc81872415,通过,60,否,51,是,0,否,1,是,0,否,图片较多,46162,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-007,06_SSP_588_Jetta_2019.pdf,framework\06_SSP_588_Jetta_2019.pdf,06_SSP_588_Jetta_2019.pdf,https://www.vag-technique.fr/ext_files/ssp/vw/SSP_588_The_Jetta_2019.pdf,2542651,6ed56517b60e7b1b9fa9192c03f1014cbb35002539c3c28f88bc1fcb6fa4b24f,通过,68,否,68,是,0,否,1,是,1,是,图片较多,59600,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-008,vag_001_View_document_SSP_147_Radio_Systems_94__e2bf2399d103.pdf,pdfs\vag_001_View_document_SSP_147_Radio_Systems_94__e2bf2399d103.pdf,View document [SSP 147 Radio Systems 94],https://www.vdveer-engineering.nl/edocmanviewer/SSP_147_Radio_Systems_94.pdf,14272027,e2bf2399d10348eea1ff25e04d7e0cad8d8c47c458515dbfc5efabf805d0bbef,通过,40,否,40,是,0,否,0,否,0,否,图片较多,0,人工抽查确认存在文字层，不是扫描件；自动版式标签已人工修正。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-009,vag_002_View_document_SSP_153_1_9_ltr-TDI-Industrial_Engine__b72a02c43d3a.pdf,pdfs\vag_002_View_document_SSP_153_1_9_ltr-TDI-Industrial_Engine__b72a02c43d3a.pdf,"View document [SSP 153 1,9 ltr-TDI-Industrial Engine]","https://www.vdveer-engineering.nl/edocmanviewer/SSP_153_1,9_ltr-TDI-Industrial_Engine.pdf",956959,b72a02c43d3a46c07126c4f337085cab7f4aa53c854094e69238c20fc58c33e5,通过,31,否,2,是,0,否,0,否,1,是,普通文本,31027,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
PDF-010,vag_003_View_document_SSP_175_On-Board_Diagnosis_System__de2a09ad62f0.pdf,pdfs\vag_003_View_document_SSP_175_On-Board_Diagnosis_System__de2a09ad62f0.pdf,View document [SSP 175 On-Board Diagnosis System],https://www.vdveer-engineering.nl/edocmanviewer/SSP_175_On-Board_Diagnosis_System.pdf,2692914,de2a09ad62f0c00b1765c5218c344643b5e4095d2157908a8db0351afbb7d76e,通过,92,否,92,是,0,否,0,否,4,是,图片较多,116788,版式字段由启发式分析生成，需人工抽查；SSP 原理资料不是当前车型维修手册。,人工核验通过,100份首屏联系表和100份内页联系表已查看；相关性确认。表格/双栏/侧栏字段为人工抽查结合自动初筛。,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工首屏+内页抽查,汽车售后/维修/诊断/技术培训
