pdf_id,filename,title,source,relevance_status,relevance_basis,manual_review_status
PDF-001,00_official_MQB_MEB_platform_press_release.pdf,00_official_MQB_MEB_platform_press_release.pdf,https://www.volkswagen-newsroom.com/en/press-releases/modular-toolkit-strategy-as-recipe-for-success-the-mqb-celebrates-tenth-anniversary-8030/download,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-002,01_SSP_511_EA211_petrol_engine.pdf,01_SSP_511_EA211_petrol_engine.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_511_The_New_EA211_Petrol_Engine.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-003,02_SSP_920243_EA888_gen3.pdf,02_SSP_920243_EA888_gen3.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_920243_-_The_Audi_1_8L_and_2_0L_Third_Generation_EA888_Engines.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-004,03_SSP_374_traction_control_ESP.pdf,03_SSP_374_traction_control_ESP.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_374_Traction_Control_ESP.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-005,04_SSP_532_VW_heat_pump.pdf,04_SSP_532_VW_heat_pump.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_532_The_Heat_Pump_from_Volkswagen.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-006,05_SSP_307_Touran_electrical_system.pdf,05_SSP_307_Touran_electrical_system.pdf,https://www.vdveer-engineering.nl/edocmanviewer/SSP_307_The_Touran_Electrical_system.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-007,06_SSP_588_Jetta_2019.pdf,06_SSP_588_Jetta_2019.pdf,https://www.vag-technique.fr/ext_files/ssp/vw/SSP_588_The_Jetta_2019.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-008,vag_001_View_document_SSP_147_Radio_Systems_94__e2bf2399d103.pdf,View document [SSP 147 Radio Systems 94],https://www.vdveer-engineering.nl/edocmanviewer/SSP_147_Radio_Systems_94.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-009,vag_002_View_document_SSP_153_1_9_ltr-TDI-Industrial_Engine__b72a02c43d3a.pdf,"View document [SSP 153 1,9 ltr-TDI-Industrial Engine]","https://www.vdveer-engineering.nl/edocmanviewer/SSP_153_1,9_ltr-TDI-Industrial_Engine.pdf",确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
PDF-010,vag_003_View_document_SSP_175_On-Board_Diagnosis_System__de2a09ad62f0.pdf,View document [SSP 175 On-Board Diagnosis System],https://www.vdveer-engineering.nl/edocmanviewer/SSP_175_On-Board_Diagnosis_System.pdf,确认相关,人工查看首屏和内页联系表；标题、VW/VAG Service/SSP 标识及正文图示明确对应车辆系统、车型、诊断、维修或售后技术培训。,人工核验通过
